1	14	8	16	17	18	19	24	25	26	10	0	0	7	7	29	9	29
1	12	12	12	12	12	12	12	12	12	12	12	12	4	29	2	29	29
3	13	13	13	13	13	13	13	13	13	13	13	13	29	29	29	29	29
3	13	13	13	13	13	13	13	13	13	13	13	13	4	29	29	29	29
4	29	5	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
6	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
6	13	13	13	13	13	13	13	13	13	13	13	13	29	29	29	29	29
7	23	23	23	23	23	23	23	23	23	23	23	23	7	7	29	29	29
1	29	15	29	29	29	15	15	29	15	15	15	15	15	15	29	29	29
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	28	9
10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10
